from_stop_id,to_stop_id,transfer_type,min_transfer_time
1008624,1005662,2,108
1008624,1005663,2,130
1008624,1008625,2,41
1008626,1008627,2,38
1008628,1008629,2,50
1008630,1008631,2,26
1008632,1008634,2,129
1008632,1008633,2,30
1008634,1008632,2,129
1008634,1008636,2,142
1008634,1008635,2,27
1008629,1008628,2,50
1008627,1008626,2,38
1005663,1005661,2,135
1005663,1005662,2,139
1005663,1008624,2,130
1005663,1005664,2,107
1005663,1008625,2,119
1005664,1005661,2,47
1005664,1005662,2,136
1005664,1005663,2,107
1005665,1005659,2,125
1005665,1005660,2,50
1005666,1005659,2,92
1005667,1005658,2,60
1005667,1005729,2,133
1005668,1005657,2,33
1005669,1005656,2,33
1005670,1005655,2,58
1005671,1005654,2,49
1005672,1005653,2,53
1005672,1005654,2,140
1005673,1005652,2,49
1008577,1005596,2,17
1008576,1005595,2,17
1008592,1005594,2,50
1008593,1005593,2,71
1008595,1005592,2,21
1005592,1008595,2,21
1005593,1008593,2,71
1005594,1008592,2,50
1005595,1008576,2,17
1005596,1008577,2,17
1008543,1008542,2,36
1008541,1008540,2,34
1005716,1005715,2,23
1008539,1008537,2,141
1008539,1008536,2,135
1008539,1008538,2,42
1008537,1008539,2,141
1008537,1008536,2,33
1008535,1008534,2,38
1008533,1008532,2,50
1008531,1008530,2,45
1008529,1008528,2,43
1008527,1008526,2,16
1008546,1008547,2,142
1008547,1008546,2,142
1008239,1005624,2,96
1008525,1005624,2,118
1008526,1008527,2,16
1008528,1008529,2,43
1008530,1008531,2,45
1008532,1008533,2,50
1008534,1008535,2,38
1008534,1008536,2,139
1008536,1008539,2,135
1008536,1008537,2,33
1008536,1008534,2,139
1008538,1008539,2,42
1005715,1005716,2,23
1008540,1008541,2,34
1008542,1008543,2,36
1008636,1008634,2,142
1008636,1008635,2,116
1008635,1008634,2,27
1008635,1008636,2,116
1008633,1008632,2,30
1008631,1008630,2,26
1008625,1005662,2,141
1008625,1008624,2,41
1008625,1005663,2,119
1005694,1005639,2,74
1005639,1005694,2,74
1005640,1008607,2,21
1008606,1008605,2,38
1005643,1008603,2,23
1005644,1008599,2,132
1005644,1008601,2,29
1005645,1008597,2,114
1005645,1008599,2,87
1005646,1008597,2,66
1008597,1005645,2,114
1008597,1005646,2,66
1008599,1005644,2,132
1008599,1005645,2,87
1008601,1005644,2,29
1008603,1005643,2,23
1008605,1008606,2,38
1008607,1005640,2,21
1005729,1005658,2,75
1005729,1005667,2,133
1008568,1008567,2,86
1008566,1008565,2,61
1005726,1005727,2,20
1008564,1008563,2,26
1005728,1008562,2,102
1008560,1008559,2,27
1005613,1005630,2,24
1005722,1005721,2,26
1008557,1008558,2,19
1005634,1005692,2,122
1005692,1005634,2,122
1005617,1005618,2,112
1005617,1005629,2,21
1005618,1005617,2,112
1005618,1005619,2,125
1005618,1008556,2,137
1005618,1005629,2,100
1005619,1005618,2,125
1005619,1008556,2,21
1005620,1008554,2,35
1005621,1008553,2,23
1005623,1008551,2,18
1005624,1008239,2,96
1005624,1008525,2,118
1008551,1005623,2,18
1008553,1005621,2,23
1008554,1005620,2,35
1008556,1005618,2,137
1008556,1005619,2,21
1005629,1005617,2,21
1005629,1005618,2,100
1008558,1008557,2,19
1005721,1005722,2,26
1005630,1005613,2,24
1008559,1008560,2,27
1008562,1005728,2,102
1008563,1008564,2,26
1005727,1005726,2,20
1008565,1008566,2,61
1008567,1008568,2,86
1005675,1005650,2,93
1005589,1005603,2,13
1005590,1005602,2,21
1005679,1008516,2,77
1005679,1008517,2,120
1005679,1005601,2,38
1008516,1005679,2,77
1008516,1008517,2,52
1008516,1005601,2,98
1008518,1008521,2,141
1008518,1008520,2,103
1008518,1008519,2,11
1008518,1008517,2,130
1008521,1008518,2,141
1008521,1008520,2,37
1008521,1008519,2,131
1008523,1008522,2,9
1008522,1008523,2,9
1008520,1008518,2,103
1008520,1008521,2,37
1008520,1008519,2,94
1008519,1008518,2,11
1008519,1008521,2,131
1008519,1008520,2,94
1008519,1008517,2,134
1008517,1005679,2,120
1008517,1008516,2,52
1008517,1008518,2,130
1008517,1008519,2,134
1008517,1005601,2,128
1005601,1005679,2,38
1005601,1008516,2,98
1005601,1008517,2,128
1005602,1005590,2,21
1005603,1005589,2,13
1005650,1005675,2,93
1001782,1001783,2,21
1001782,1009130,2,78
1000492,1000082,2,80
1000492,1002014,2,122
1000492,1006137,2,141
1001518,1000542,2,34
1001783,1001782,2,21
1001783,1009130,2,86
1009130,1001782,2,78
1009130,1001783,2,86
1000542,1001518,2,34
1000082,1000492,2,80
1000082,1006137,2,70
1002571,1002572,2,30
1003224,1003225,2,64
1006251,1006250,2,49
1006249,1006248,2,23
1006249,1009040,2,101
1006249,1009041,2,103
1006247,1006246,2,105
1006245,1006312,2,132
