route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
30000009,25101001,251010010049S10,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S11,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S12,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S13,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S14,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S15,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S16,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S17,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S18,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S19,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S2,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S20,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S21,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S22,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S23,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S24,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S25,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S26,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S27,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S28,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S29,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S3,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S4,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S5,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S6,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S7,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S8,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101001,251010010049S9,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S10,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S11,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S12,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S13,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S14,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S15,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S16,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S17,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S18,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S19,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S2,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S20,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S21,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S22,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S23,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S24,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S25,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S26,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S27,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S28,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S29,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S3,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S4,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S5,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S6,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S7,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S8,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,25101002,251010020049S9,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
